//Card Title,Card ID,Card Value,Card Type,Card Sub Type,Card Badge,Card Series,Year,Peak,Team,Franchise,LastName,FirstName,NickName,Nation,UniformNumber,DayOB,MonthOB,YearOB,Bats,Throws,Position,Pitcher Role,Contact,Gap,Power,Eye,Avoid Ks,BABIP,Contact vL,Gap vL,Power vL,Eye vL,Avoid K vL,BABIP vL,Contact vR,Gap vR,Power vR,Eye vR,Avoid K vR,BABIP vR,GB Hitter Type,FB Hitter Type,BattedBallType,Speed,Steal Rate,Stealing,Baserunning,Sac bunt,Bunt for hit,Stuff,Movement,Control,pHR,pBABIP,Stuff vL,Movement vL,Control vL,pHR vL,pBABIP vL,Stuff vR,Movement vR,Control vR,pHR vR,pBABIP vR,Fastball,Slider,Curveball,Changeup,Cutter,Sinker,Splitter,Forkball,Screwball,Circlechange,Knucklecurve,Knuckleball,Stamina,Hold,GB,Velocity,Arm Slot,Height,Infield Range,Infield Error,Infield Arm,DP,CatcherAbil,CatcherFrame,Catcher Arm,OF Range,OF Error,OF Arm,Pos Rating P,Pos Rating C,Pos Rating 1B,Pos Rating 2B,Pos Rating 3B,Pos Rating SS,Pos Rating LF,Pos Rating CF,Pos Rating RF,LearnC,Learn1B,Learn2B,Learn3B,LearnSS,LearnLF,LearnCF,LearnRF,era,tier,MissionValue,limit,owned,brefid,Buy Order High,Sell Order Low,Last 10 Price,Last 10 Price(VAR),date
T4 Ep. 12 - Baseball Reference 9 LF Delmon Young DET 2011,75680,68,7,BBR,,T4 Ep. 12,2011,N,Detroit Tigers,DET,Young,Delmon,,The United States,21,14,9,1985,1,1,7,0,114,122,102,31,109,110,114,92,138,44,111,108,114,138,92,28,108,111,0,1,0,17,3,16,28,8,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,18,2,90-92,3,191,5,2,9,5,0,0,0,57,40,67,0,0,0,0,0,0,66,0,57,0,0,0,0,0,1,0,1,6,1,2,0,1,youngde03,0,60,68,2856,9/30/2025
MLB 2025 Live RP Danny Young NYM,72330,70,1,,,,2025,N,New York Mets,NYM,Young,Danny,,The United States,16,27,5,1994,2,2,1,12,29,11,1,21,20,38,29,11,1,21,20,38,29,12,2,22,21,39,0,0,0,20,12,2,46,76,18,99,87,56,78,106,184,124,59,108,158,79,75,56,70,87,0,99,0,0,0,90,0,0,0,0,0,0,14,65,1,91-93,2,191,29,28,44,6,2,2,3,12,23,33,68,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,2,5,0,1,youngda02,0,139,114,0,3/14/2025
Sept. Mixed Bag - Rookie Sensation SP Cy Young CL4 1890,75589,63,3,,,Sept. Mixed Bag,1890,N,Cleveland Spiders,CLE,Young,Cy,,The United States,97,29,3,1867,1,1,1,11,14,56,4,24,21,7,16,63,4,26,22,9,14,55,4,23,21,7,0,2,0,79,68,76,86,8,55,40,86,139,66,128,40,88,136,67,130,40,86,142,66,127,53,41,38,26,0,0,0,0,27,0,0,0,93,62,2,91-93,4,188,29,30,25,16,0,0,0,8,10,10,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,youngcy01,0,35,37,6344,9/25/2025
Perfect Game SP Cy Young BOS 1904,69560,100,7,PG,,,1904,N,Boston Americans,BOS,Young,Cy,,The United States,3,29,3,1867,1,1,1,11,67,76,64,26,71,65,72,88,74,34,77,69,65,74,61,22,69,64,2,0,0,90,59,74,88,24,2,122,123,146,125,119,127,125,148,127,122,119,121,144,124,117,90,89,134,97,0,0,0,0,97,0,0,0,108,91,2,91-93,4,188,47,50,49,41,0,0,0,7,8,3,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,200,0,0,youngcy01,30000,39999,33492,70613,5/7/2025
Hall of Fame 4 SP Cy Young CL4 1895,77691,105,9,HOF,,,1895,N,Cleveland Spiders,CLE,Young,Cy,,The United States,73,29,3,1867,1,1,1,11,30,98,2,71,35,29,31,115,3,78,36,30,30,93,2,69,35,29,1,2,0,71,81,68,75,35,9,150,180,202,179,182,155,182,204,181,185,146,178,200,177,180,104,91,147,151,0,0,0,0,115,0,0,0,116,62,2,92-94,4,188,31,30,26,18,0,0,0,7,3,7,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,200,0,0,youngcy01,185000,0,239312,754878,1/22/2026
Clubhouse - Future Legend SS Cole Young SEA 2025,73857,71,6,,CS,,2025,N,Seattle Mariners,SEA,Young,Cole,,The United States,7,29,7,2003,2,1,6,0,102,116,54,116,103,93,83,109,46,107,83,82,108,119,57,119,110,97,0,0,0,61,59,71,61,58,37,1,21,1,1,63,1,21,1,1,63,1,22,1,1,64,5,0,0,0,0,0,0,0,0,0,0,0,9,10,4,75-80,4,178,75,79,85,74,1,1,1,66,59,43,0,0,0,86,85,74,0,0,0,0,1,1,1,1,1,1,1,8,2,5,0,0,young-006col,8000,0,8911,3428,6/2/2025
MLB 2025 Live 2B Cole Young SEA,74313,51,1,,,,2025,N,Seattle Mariners,SEA,Young,Cole,,The United States,7,29,7,2003,2,1,4,0,70,72,45,81,83,58,63,69,39,78,73,56,73,73,48,83,89,59,0,0,0,61,59,71,61,58,37,1,21,1,1,63,1,21,1,1,63,1,22,1,1,64,5,0,0,0,0,0,0,0,0,0,0,0,9,10,4,75-80,4,178,74,78,57,72,1,1,1,66,59,43,0,0,0,83,0,63,0,0,0,0,1,1,1,1,1,1,1,8,0,1,0,1,young-006col,0,34,40,0,7/7/2025
Mixed Bag 2 - Historical All-Star SP Chris R. Young SD 2007,77795,80,5,,,Mixed Bag 2,2007,N,San Diego Padres,SDP,Young,Chris R.,,The United States,24,25,5,1979,1,1,1,11,4,5,1,6,2,1,5,5,1,6,4,3,4,6,1,7,2,1,1,2,0,6,4,6,8,48,42,115,129,48,112,165,93,118,51,97,161,140,145,46,134,168,93,114,0,153,0,0,0,0,0,0,0,0,66,33,4,92-94,4,208,31,20,25,23,0,0,0,2,8,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,0,0,youngch03,0,3994,3665,3638,1/15/2026
PTMS 4 CF Chris B. Young ARI 2010,77796,67,5,PTMS,,PTMS 4,2010,N,Arizona Diamondbacks,ARI,Young,Chris B.,C Y,The United States,24,5,9,1983,1,1,8,0,81,83,124,127,63,105,90,58,120,148,69,111,79,96,126,120,61,103,1,0,0,94,86,96,101,63,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,2,2,90-92,3,188,3,10,10,9,0,0,0,112,56,106,0,0,0,0,0,0,134,125,129,0,0,0,0,0,1,1,1,6,1,2,0,0,youngch04,0,6995,7244,0,2/11/2026
MLB 2025 Live SP Brandon Young BAL,73404,46,1,,,,2025,N,Baltimore Orioles,BAL,Young,Brandon,,The United States,32,19,8,1998,1,1,1,11,17,15,3,14,22,13,17,15,3,14,22,13,17,15,3,14,22,13,2,2,0,11,13,9,11,74,9,66,68,77,69,68,62,65,76,65,66,70,71,79,72,70,77,76,77,76,0,0,0,0,0,0,0,0,63,37,4,93-95,3,198,7,38,49,5,1,1,1,8,17,11,53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,1,young-004bra,0,14,14,0,5/5/2025
Variant Booster SP Anthony Young NYM 1993,74583,58,8,VB,,,1993,N,New York Mets,NYM,Young,Anthony,,The United States,19,19,1,1966,1,1,1,11,3,3,1,3,1,1,3,3,1,3,1,1,3,3,1,3,1,1,0,0,0,6,5,6,7,26,51,66,88,69,93,80,70,85,59,90,75,64,93,77,97,87,0,72,88,84,0,72,0,0,0,0,0,0,55,43,2,90-92,3,188,24,20,22,23,0,0,0,8,10,2,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,youngan01,325,800,740,598,7/29/2025
World Champ Variant Booster x2 3B Kevin Youkilis BOS 2004,75142,63,3,VB,,,2004,N,Boston Red Sox,BOS,Youkilis,Kevin,Youk,The United States,20,15,3,1979,1,1,5,0,76,60,74,118,72,81,78,58,82,159,93,69,76,61,71,110,67,88,3,2,0,17,14,6,24,30,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,0,0,0,0,0,0,0,0,0,0,0,1,3,2,91-93,3,185,92,89,78,46,0,0,0,2,7,6,0,0,0,0,89,0,0,0,0,0,0,0,1,0,0,0,0,5,1,2,0,1,youklke01,700,1555,1721,1745,8/21/2025
T4 Ep. 18 - Limited Edition/129 3B Eddie Yost WS1 1952,77785,64,5,LE,,T4 Ep. 18,1952,N,Washington Senators,MIN,Yost,Eddie,The Walking Man,The United States,1,13,10,1926,1,1,5,0,77,97,73,190,94,66,91,111,77,207,140,60,75,93,72,184,82,68,0,1,0,35,19,62,40,52,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,8,2,90-92,3,178,59,65,59,58,0,0,0,45,63,50,0,0,0,0,54,0,51,0,0,0,0,0,1,0,1,0,0,2,1,2,129,0,yosted01,100,5982,6375,0,1/13/2026
Unsung Heroes SP Masato Yoshii MON 2002,70395,60,8,,,,2002,N,Montreal Expos,WSN,Yoshii,Masato,,Japan,55,20,4,1965,1,1,1,11,4,5,1,4,2,1,4,8,1,4,2,1,4,4,2,5,2,1,1,0,0,12,4,11,18,40,52,48,71,87,69,76,47,77,60,79,74,48,66,119,61,77,0,0,51,47,0,60,0,58,0,0,0,0,58,88,2,89-91,3,188,27,20,23,23,0,0,0,9,9,2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,5,yoshima01,0,26,37,643,3/14/2025
MLB 2025 Live LF Masataka Yoshida BOS,71822,64,1,,,,2025,N,Boston Red Sox,BOS,Yoshida,Masataka,,Japan,7,15,7,1993,2,1,7,0,90,92,65,59,106,76,83,87,62,57,93,76,94,94,67,61,111,77,0,0,0,36,12,16,34,49,34,1,20,1,1,60,1,20,1,1,59,1,20,1,1,60,5,0,0,0,0,0,0,0,0,0,0,0,1,0,3,75-80,4,173,36,38,27,36,0,0,0,54,56,49,0,0,0,0,0,0,60,0,14,0,1,1,1,0,1,1,1,8,1,2,0,1,yoshima02,0,39,30,0,3/14/2025
MLB 2025 Live 2B Nick Yorke PIT,75719,47,1,,,,2025,N,Pittsburgh Pirates,PIT,Yorke,Nick,,The United States,80,2,4,2002,1,1,4,0,75,75,48,67,75,77,78,77,50,70,77,79,75,75,48,67,74,77,2,2,0,79,51,76,75,54,38,1,22,5,1,66,1,22,5,1,66,1,22,5,1,66,5,0,0,0,0,0,0,0,0,0,0,0,3,7,4,75-80,4,183,49,61,46,54,3,3,1,42,49,47,0,0,28,48,11,0,0,0,12,0,1,1,1,1,1,0,1,8,0,1,0,3,yorkeni01,0,0,42,0,10/6/2025
Snapshot LF Tom York BL2 1884,70944,58,7,,,,1884,N,Baltimore Orioles,NYY,York,Tom,,The United States,3,13,7,1850,2,1,7,0,54,122,32,133,68,39,51,113,31,112,63,38,55,126,33,141,70,40,2,2,0,74,90,84,64,3,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,15,2,90-92,4,175,3,3,3,5,0,0,0,50,64,54,0,0,0,0,0,0,58,0,19,0,0,0,0,0,1,0,0,0,0,1,0,2,yorkto01,0,10,19,436,3/14/2025
Baseball Reference 7 C Rudy York DET 1937,74960,91,3,BBR,ME,,1937,N,Detroit Tigers,DET,York,Rudy,,The United States,20,17,8,1913,1,1,2,0,79,84,169,97,74,87,78,78,158,94,78,78,80,87,173,99,73,91,2,0,0,43,31,63,32,21,9,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,33,0,15,2,0,0,0,0,0,0,0,0,1,7,2,90-92,3,185,62,43,68,39,46,57,52,3,6,1,0,44,77,0,49,0,0,0,0,1,1,0,1,0,0,0,0,1,4,50,0,1,yorkru01,0,4499,4881,0,8/7/2025
Historical All-Star 1B Rudy York CWS 1947,71299,54,5,,,,1947,N,Chicago White Sox,CHW,York,Rudy,,The United States,3,17,8,1913,1,1,3,0,48,97,94,67,63,31,50,126,106,73,60,38,48,89,90,66,65,29,2,0,0,24,4,16,16,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,14,2,0,0,0,0,0,0,0,0,1,2,2,89-91,3,185,29,71,44,32,0,0,0,7,4,2,0,0,61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,2,yorkru01,0,38,11,288,3/14/2025
